file,event_type,event_subtype,text,context,trigger,trigger_text_start,trigger_text_end,trigger_context_start,trigger_context_end
bc/timex2norm/CNN_CF_20030304.1900.02,Transaction,Transfer-Money,pay-out to all of the victims that get a little money,"And the entire pay-out to all of the victims that get a little money, not the 90 percent who never file a claim, amounts to less than what we spend on dog food",pay-out,0,6,15,21
bc/timex2norm/CNN_CF_20030304.1900.02,Transaction,Transfer-Money,$5.4 billion is the pay-out,It's about $5.4 billion is the pay-out,pay-out,20,26,31,37
bc/timex2norm/CNN_CF_20030304.1900.02,Transaction,Transfer-Money,payoffs,"payoffs have been stable, adjusted for inflation, National Practitioners Databank",payoffs,0,6,0,6
bc/timex2norm/CNN_CF_20030304.1900.02,Business,End-Org,driving doctors out of their practices all across the country,Both the AMA and the Bush administration released reports this week saying out of control trial lawyers are driving doctors out of their practices all across the country,driving,0,6,108,114
bc/timex2norm/CNN_CF_20030304.1900.02,Justice,Sue,"lawsuits cost money, premiums go up and either way, the patient","President Bush points this way today, even the most frivolous of lawsuits cost money, premiums go up and either way, the patient pays",lawsuits,0,7,65,72
bc/timex2norm/CNN_CF_20030304.1900.02,Transaction,Transfer-Money,"someone who had a double mastectomy, tell an infant who's brain-damaged and has no economic loss that for the rest of their lives they're going to get dribbled out $250,000","Tell someone who had a double mastectomy, tell an infant who's brain-damaged and has no economic loss that for the rest of their lives they're going to get dribbled out $250,000 for their entire life expectancy",dribbled,151,158,156,163
bc/timex2norm/CNN_CF_20030304.1900.02,Personnel,Elect,became president,"Let me set aside the hypocrisy of a man who became president because of a lawsuit trying to eliminate everybody else's lawsuits, but instead focus on his own experience",became,0,5,44,49
bc/timex2norm/CNN_CF_20030304.1900.02,Transaction,Transfer-Money,they ought to be able to recover,"If harmed by a doc, they ought to be able to recover their economic costs, economic losses",recover,25,31,45,51
bc/timex2norm/CNN_CF_20030304.1900.02,Transaction,Transfer-Money,"awards in 10 million, 20 million, $30 million","There are awards in 10 million, 20 million, $30 million in California for economic",awards,0,5,10,15
bc/timex2norm/CNN_CF_20030304.1900.02,Personnel,End-Position,the agency that pledges to protect the public has granted second and third chances to surgeons who are thrown out,"Here's what the ""Dallas Morning News"" reported recently: ""The Texas State Board of Medical Examiners, the agency that pledges to protect the public has granted second and third chances to surgeons who are thrown out of hospitals because they botched operations",thrown out,103,112,205,214
bc/timex2norm/CNN_CF_20030304.1900.02,Justice,Sue,lawsuits,"Actually, Troy Brennan, the same doctor at Harvard Public School of Health said the issue is not to fuel lawsuits, it's too many",lawsuits,0,7,105,112
bc/timex2norm/CNN_CF_20030304.1900.02,Life,Injure,"the victims of medical malpractice, and we're talking about horrific injuries","Less than 10 percent of the victims of medical malpractice, and we're talking about horrific injuries here, even file a claim",injuries,69,76,93,100
bc/timex2norm/CNN_CF_20030304.1900.02,Justice,Sue,everybody else's lawsuits,"Let me set aside the hypocrisy of a man who became president because of a lawsuit trying to eliminate everybody else's lawsuits, but instead focus on his own experience",lawsuits,17,24,119,126
bc/timex2norm/CNN_CF_20030304.1900.02,Personnel,End-Position,the last five years to revoke the license of a single doctor,It has refused in the last five years to revoke the license of a single doctor for committing medical errors,revoke,23,28,41,46
bc/timex2norm/CNN_CF_20030304.1900.02,Personnel,End-Position,doctors we want them removed,If there are any bad doctors we want them removed from the practice of medicine,removed,21,27,42,48
bc/timex2norm/CNN_CF_20030304.1900.02,Personnel,End-Position,Doctors are leaving,"Doctors are leaving practice because of insurance premium, right",leaving,12,18,12,18
bc/timex2norm/CNN_CF_20030304.1900.02,Life,Injure,people who have been harmed by a bad doctor,"Well, let's look at what the president is actually proposing for people who have been harmed by a bad doctor",harmed,21,26,86,91
bc/timex2norm/CNN_CF_20030304.1900.02,Transaction,Transfer-Money,payment,Seventy percent of the cases filed are told there's no payment,payment,0,6,55,61
bc/timex2norm/CNN_CF_20030304.1900.02,Transaction,Transfer-Money,someone pays,"Because someone pays money in a case, the insurance company may pay money because they're afraid there's is going to be a giant award in this case because of this broken liability system",pays,8,11,16,19
bc/timex2norm/CNN_CF_20030304.1900.04,Conflict,Attack,war,"But here in Washington, President Bush says it's all a hoax, and many believe he has already made up his mind to go to war",war,0,2,119,121
bc/timex2norm/CNN_CF_20030304.1900.04,Conflict,Attack,war,"Congressman Sanders, you're opposed to this war",war,0,2,44,46
bc/timex2norm/CNN_CF_20030304.1900.04,Life,Die,the American men and women are in harm's way and may be dying,"When the guns begin to fire, when the American men and women are in harm's way and may be dying, is that now the time for you and your allies to shut up and support the troops",dying,56,60,90,94
bc/timex2norm/CNN_CF_20030304.1900.04,Life,Die,tens and thousands of Iraqi women and children are killed,"Well it's not -- are you suggesting that when tens and thousands of Iraqi women and children are killed, and when young men and women in this country are unnecessarily put at harm's risk, what should we do",killed,51,56,97,102
bc/timex2norm/CNN_CF_20030304.1900.04,Life,Injure,casualties,And obviously we're going to pray that there's fewer casualties,casualties,0,9,53,62
bc/timex2norm/CNN_CF_20030304.1900.04,Conflict,Demonstrate,you going to demonstrate against them in the streets,Are you going to demonstrate against them in the streets,demonstrate,13,23,17,27
bc/timex2norm/CNN_CF_20030304.1900.04,Conflict,Demonstrate,I don't demonstrate,"No, I don't demonstrate against anybody during a war",demonstrate,8,18,12,22
bc/timex2norm/CNN_CF_20030304.1900.04,Conflict,Attack,war,"No, I don't demonstrate against anybody during a war",war,0,2,49,51
bc/timex2norm/CNN_CF_20030304.1900.04,Life,Die,Saddam Hussein has butchered over a million of his own citizens,What I do know is Saddam Hussein has butchered over a million of his own citizens,butchered,19,27,37,45
bc/timex2norm/CNN_CF_20030304.1900.04,Conflict,Attack,him in the war,"Furthermore, the United States supported him in the war against Iran",war,11,13,52,54
bc/timex2norm/CNN_CF_20030304.1900.04,Conflict,Attack,war,What we're talking about is the unpredictable nature of war and what could happen in this war,war,0,2,56,58
bc/timex2norm/CNN_CF_20030304.1900.04,Conflict,Attack,war,What we're talking about is the unpredictable nature of war and what could happen in this war,war,0,2,90,92
bc/timex2norm/CNN_CF_20030304.1900.04,Conflict,Attack,the most powerful nation on Earth invades and occupies a Muslim nation,You don't know what happens when the most powerful nation on Earth invades and occupies a Muslim nation and kills tens of thousands of people,invades,34,40,67,73
bc/timex2norm/CNN_CF_20030304.1900.04,Life,Die,the most powerful nation on Earth invades and occupies a Muslim nation and kills tens of thousands of people,You don't know what happens when the most powerful nation on Earth invades and occupies a Muslim nation and kills tens of thousands of people,kills,75,79,108,112
bc/timex2norm/CNN_CF_20030304.1900.04,Conflict,Attack,it,I'm not crazy about it myself,it,0,1,20,21
bc/timex2norm/CNN_CF_20030304.1900.04,Conflict,Attack,those who would wage war,"No, it's so important -- you know this -- and I know it's fun and we love doing partisan Punch & Judy, but is there ever a time when we stand up even if we respectfully disagree with the commander in chief and those who would wage war",war,21,23,231,233
bc/timex2norm/CNN_CF_20030304.1900.04,Conflict,Attack,"Iran, the reason that you had Ayatollah Khomeini in power is he overthrew the Shah","For example -- wait a second -- in Iran, the reason that you had Ayatollah Khomeini in power is he overthrew the Shah",overthrew,64,72,99,107
bc/timex2norm/CNN_CF_20030304.1900.04,Personnel,Start-Position,put the Shah,You who put the Shah in power,put,0,2,8,10
bc/timex2norm/CNN_CF_20030304.1900.04,Conflict,Attack,the guy who he overthrew,But the problem with Khomeini was that the guy who he overthrew was put in power by the United States,overthrew,15,23,54,62
bc/timex2norm/CNN_CF_20030304.1900.04,Personnel,Start-Position,the guy who he overthrew was put in power by the United States,But the problem with Khomeini was that the guy who he overthrew was put in power by the United States,put in power,29,40,68,79
bc/timex2norm/CNN_CF_20030304.1900.04,Conflict,Attack,We overthrew,We overthrew (UNINTELLIGIBLE) and put the Shah of Iran in power,overthrew,3,11,3,11
bc/timex2norm/CNN_CF_20030304.1900.04,Personnel,Start-Position,We overthrew (UNINTELLIGIBLE) and put the Shah of Iran,We overthrew (UNINTELLIGIBLE) and put the Shah of Iran in power,put,34,36,34,36
bc/timex2norm/CNN_CF_20030304.1900.04,Personnel,Start-Position,the CIA for putting him,"But I mean you're attacking the CIA for putting him in, when it was -- the problem was Khomeini",putting,12,18,40,46
bc/timex2norm/CNN_CF_20030304.1900.06-2,Justice,Arrest-Jail,we caught that guy,The way we caught that guy was by coordinating with our allies,caught,3,8,11,16
bc/timex2norm/CNN_CF_20030304.1900.06-2,Justice,Arrest-Jail,The same weekend they arrested the guy,"The same weekend they arrested the guy, we had",arrested,22,29,22,29
bc/timex2norm/CNN_CF_20030304.1900.06-2,Justice,Arrest-Jail,al Qaeda's second key operative was just caught,"And I'm curious, how can Democrats claim that President Bush is ignoring the war on terror if al Qaeda's second key operative was just caught",caught,41,46,135,140
bc/timex2norm/CNN_CF_20030304.1900.06-2,Justice,Arrest-Jail,it,We had no part in it,it,0,1,18,19
bc/timex2norm/CNN_CF_20030304.1900.06-2,Justice,Arrest-Jail,it was a joint effort by Pakistan,"No, it was a joint effort by Pakistan",it,0,1,4,5
bc/timex2norm/CNN_CF_20030304.1900.06-2,Conflict,Attack,war in Iraq,Why do we want to sever that relationship with this idiotic war in Iraq,war,0,2,60,62
bc/timex2norm/CNN_CF_20030304.1900.06-2,Conflict,Attack,we go to war,The question of whether we go to war or not is strictly a national question,war,9,11,33,35
bc/timex2norm/CNN_CF_20030305.1900.00-1,Conflict,Attack,war,"On this Ash Wednesday, the pope asks Catholics to fast for peace and he asks President Bush to work for peace, while the White House sends out Colin Powell to make yet another case for war",war,0,2,185,187
bc/timex2norm/CNN_CF_20030305.1900.00-1,Conflict,Attack,war,We don't need war,war,0,2,14,16
bc/timex2norm/CNN_CF_20030305.1900.00-1,Conflict,Attack,war,They're not pointing out that inspections are working only because there's the credible threat of war,war,0,2,98,100
bc/timex2norm/CNN_CF_20030305.1900.00-1,Conflict,Attack,American case for war against Saddam Hussein,The essence of the American case for war against Saddam Hussein,war,18,20,37,39
bc/timex2norm/CNN_CF_20030305.1900.00-1,Conflict,Attack,force,"President Bush wants the Security Council to explicitly authorize force against Iraq, and his press secretary today remained optimistic that in the end, that's just what he'll get",force,0,4,66,70
bc/timex2norm/CNN_CF_20030305.1900.00-1,Conflict,Attack,we have to go to war,It doesn't mean we have to go to war,war,17,19,33,35
bc/timex2norm/CNN_CF_20030305.1900.00-1,Conflict,Attack,force,But I think President Bush should get credit for pushing to instructions and backing them up with the threat of force,force,0,4,112,116
bc/timex2norm/CNN_CF_20030305.1900.00-1,Conflict,Attack,force,"It means when you take the threat of force of the table, you're likely to stop disarming Saddam Hussein",force,0,4,37,41
bc/timex2norm/CNN_CF_20030305.1900.00-1,Conflict,Attack,force,"Yes, I'm not saying take the threat of force",force,0,4,39,43
bc/timex2norm/CNN_CF_20030305.1900.00-1,Conflict,Attack,we don't need to use force,I'm saying we don't need to use force right now,force,21,25,32,36
bc/timex2norm/CNN_CF_20030305.1900.00-1,Conflict,Attack,Saddam wouldn't be destroying missiles unless he thought he was going to be destroyed,Saddam wouldn't be destroying missiles unless he thought he was going to be destroyed if he didn't,destroyed,76,84,76,84
bc/timex2norm/CNN_CF_20030305.1900.00-2,Personnel,End-Position,"fired Phil Donahue, the host of its highest-rated show","Well, those of you who still believe the myth of the liberal media should consider this: MSNBC, an obscure cable channel, has fired Phil Donahue, the host of its highest-rated show",fired,0,4,126,130
bc/timex2norm/CNN_CF_20030305.1900.00-2,Personnel,End-Position,Phil Donahue was fired,Phil Donahue was fired because he's a liberal,fired,17,21,17,21
bc/timex2norm/CNN_CF_20030305.1900.00-2,Conflict,Attack,war,"A memo from inside NBC, reported on the Web site allyourtv.com, and today in ""The Washington Post,"" shows NBC big wigs feared that the liberal Mr. Donahue represented in the words of the NBC memo -- quote -- ""a difficult public face for NBC at a time of war, while our competitors are waving the flag at every opportunity because he seems to delight in presenting guests who are anti-war, anti-Bush and skeptical of the administration's motives",war,0,2,254,256
bc/timex2norm/CNN_CF_20030305.1900.00-2,Personnel,End-Position,fire someone,"You know, you can argue back and forth, but you shouldn't fire someone because of their political views and that's what NBC has done and shame on the General Electric corporation",fire,0,3,58,61
bc/timex2norm/CNN_CF_20030305.1900.00-2,Personnel,End-Position,that's what NBC,"You know, you can argue back and forth, but you shouldn't fire someone because of their political views and that's what NBC has done and shame on the General Electric corporation",that,0,3,108,111
bc/timex2norm/CNN_CF_20030305.1900.00-2,Personnel,End-Position,I used to work there,I used to work there,work,10,13,10,13
bc/timex2norm/CNN_CF_20030305.1900.00-2,Personnel,End-Position,they shouldn't fire a guy,but they shouldn't fire a guy for his political views,fire,15,18,19,22
bc/timex2norm/CNN_CF_20030305.1900.00-3,Personnel,End-Position,Former Illinois Senator Carol Moseley-Braun,Former Illinois Senator Carol Moseley-Braun recently decided to run for president,Former,0,5,0,5
bc/timex2norm/CNN_CF_20030305.1900.00-3,Personnel,Elect,You become honorable by winning an election,"You become honorable by winning an election of some sort or having a high post, being an ambassador or a governor or some thing",election,35,42,35,42
bc/timex2norm/CNN_CF_20030305.1900.00-3,Conflict,Attack,war is the only way to make Saddam Hussein,"In a moment, we'll ask two members of Congress if they're convinced that war is the only way to make Saddam Hussein disarm",war,0,2,73,75
bc/timex2norm/CNN_CF_20030305.1900.00-3,Conflict,Attack,war,"Later, the pope practices religion and a little anti-war politics on the side",war,0,2,53,55
bc/timex2norm/CNN_CF_20030305.1900.02,Conflict,Attack,we haven't made any real progress in the war against al Qaeda,"Congressman Rangel, a couple of months ago Senator Daschle on CBS said -- made the charge that we are, quote, ""we haven't made any real progress in the war against al Qaeda",war,41,43,152,154
bc/timex2norm/CNN_CF_20030305.1900.02,Transaction,Transfer-Ownership,they get them,And how'd they get them,get,5,7,15,17
bc/timex2norm/CNN_CF_20030305.1900.02,Contact,Meet,Secretary of State Colin Powell goes to the U.N. tomorrow,Secretary of State Colin Powell goes to the U.N. tomorrow to do what he can,goes,32,35,32,35
bc/timex2norm/CNN_CF_20030305.1900.02,Conflict,Attack,war in Iraq,"We're talking with potential war in Iraq with Congressman Charlie Rangel, a New York Democrat and his fellow New Yorker Republican Congressman Peter King",war,0,2,29,31
bc/timex2norm/CNN_CF_20030305.1900.02,Conflict,Attack,war,"One of the reasons that we like having you on, and as well as Mr. Rangel, is that, you know, this is war, as we were saying in the last segment",war,0,2,101,103
bc/timex2norm/CNN_CF_20030305.1900.02,Conflict,Attack,it,You treat it with the gravity and the seriousness that it deserves,it,0,1,10,11
bc/timex2norm/CNN_CF_20030305.1900.02,Conflict,Attack,war,Isn't that wrong in a time of war,war,0,2,30,32
bc/timex2norm/CNN_CF_20030305.1900.02,Conflict,Attack,it,You treat it with the gravity and the seriousness that it deserves,it,0,1,55,56
bc/timex2norm/CNN_CF_20030305.1900.02,Conflict,Attack,war,One of the most admired men in the world is doing everything he can to avert the horror of war,war,0,2,91,93
bc/timex2norm/CNN_CF_20030305.1900.02,Personnel,End-Position,a former federal prosecutor,"If they don't have the pencil that's keeping score, they ought to keep their mouth shut because as a former federal prosecutor, every drug dealer I busted was the most important drug dealer in the world",former,2,7,101,106
bc/timex2norm/CNN_CF_20030305.1900.02,Justice,Arrest-Jail,whoever you arrest,You just pass out numbers on whoever you arrest,arrest,12,17,41,46
bc/timex2norm/CNN_CF_20030305.1900.02,Conflict,Attack,attack on the World Trade Center and the Pentagon,Because he helped plan the attack on the World Trade Center and the Pentagon,attack,0,5,27,32
bc/timex2norm/CNN_CF_20030305.1900.02,Justice,Arrest-Jail,"you, when you arrest somebody","Let me tell you, when you arrest somebody, you describe who you're arresting",arrest,14,19,26,31
bc/timex2norm/CNN_CF_20030305.1900.02,Justice,Arrest-Jail,we should be arresting a lot of people,"Listen, we should be arresting a lot of people",arresting,13,21,21,29
bc/timex2norm/CNN_CF_20030305.1900.02,Conflict,Attack,we should not have the arrogance to have a preemptive strike,"We should do all of those things, but the most important thing is we should not have the arrogance to have a preemptive strike against a defenseless nation without the",strike,54,59,120,125
bc/timex2norm/CNN_CF_20030305.1900.02,Conflict,Attack,they were fighting Iran,They have it and we supported them having it when they were fighting Iran so it's no big deal there,fighting,10,17,60,67
bc/timex2norm/CNN_CF_20030305.1900.02,Life,Die,"we can disarm them without actually going there, killing","And the thing is that if we can disarm them without actually going there, killing them, I really think that we maintain our moral authority around the world",killing,49,55,74,80
bc/timex2norm/CNN_CF_20030305.1900.02,Conflict,Attack,India decides that they could have a preemptive strike,"I mean, what happens if India decides that they could have a preemptive strike against Pakistan",strike,48,53,72,77
bc/timex2norm/CNN_CF_20030305.1900.02,Life,Die,we have to kill,I don't think we have to kill to prove that,kill,11,14,25,28
bc/timex2norm/CNN_CF_20030305.1900.06-1,Conflict,Attack,war,"That Europe is against the war on humanitarian and moral grounds, but the U.S. is for the war because it wants to profit for the oil companies",war,0,2,27,29
bc/timex2norm/CNN_CF_20030305.1900.06-1,Conflict,Attack,it,"I think it's unwise, it's unjust, it's unwarranted, but I don't think it's about oil",it,0,1,21,22
bc/timex2norm/CNN_CF_20030305.1900.06-1,Conflict,Attack,it,The people are against it,it,0,1,23,24
bc/timex2norm/CNN_CF_20030305.1900.06-1,Contact,Phone-Write,our wacky and kooky fans and friends and critics right,"Time now for ""Fireback,"" where our wacky and kooky fans and friends and critics right in",right,49,53,80,84
bc/timex2norm/CNN_CF_20030305.1900.06-1,Contact,Phone-Write,"Don from Denver, Colorado writes","Don from Denver, Colorado writes, ""Paul, you keep referencing Halliburton selling equipment to Iraq"" -- which I do",writes,26,31,26,31
bc/timex2norm/CNN_CF_20030305.1900.06-1,Contact,Phone-Write,"Chad Hensley, from Fairfax, Virginia, writes","Chad Hensley, from Fairfax, Virginia, writes, ""France, Russia and German have all multi-billion dollar oil deals with Saddam in Iraq",writes,38,43,38,43
bc/timex2norm/CNN_CF_20030305.1900.06-1,Conflict,Attack,we should go to war with Iraq,But it has nothing to do whether we should go to war with Iraq or not,war,16,18,49,51
bc/timex2norm/CNN_CF_20030305.1900.06-1,Conflict,Attack,war with Iraq,I wonder why they protest the war with Iraq,war,0,2,30,32
bc/timex2norm/CNN_CF_20030305.1900.06-1,Conflict,Attack,war,"That Europe is against the war on humanitarian and moral grounds, but the U.S. is for the war because it wants to profit for the oil companies",war,0,2,90,92
bc/timex2norm/CNN_CF_20030305.1900.06-1,Conflict,Attack,war,I don't believe for a minute that this is a war for oil,war,0,2,44,46
bc/timex2norm/CNN_CF_20030305.1900.06-1,Conflict,Attack,war,"Now, the reason that France, Russia and Germany are against war is because they have democracies",war,0,2,60,62
bc/timex2norm/CNN_CF_20030305.1900.06-1,Conflict,Attack,war against one of his valued customers,He's trying to lead us into a war against one of his valued customers,war,0,2,30,32
bc/timex2norm/CNN_CF_20030305.1900.06-1,Conflict,Attack,war in Iraq,What does that have to do with the war in Iraq,war,0,2,35,37
bc/timex2norm/CNN_CF_20030305.1900.06-2,Conflict,Attack,people who already hate Americans and seek to do America harm,"On the other hand, the region is pretty unstable, filled with people who already hate Americans and seek to do America harm",harm,57,60,119,122
bc/timex2norm/CNN_CF_20030305.1900.06-2,Conflict,Attack,attack,"And I was just curious if you feel that the attack on Iraq would actually open a Pandora's box in other Middle Eastern countries that we are known to aid and harbor terrorists, such as Syria and Iran",attack,0,5,44,49
bc/timex2norm/CNN_CF_20030305.1900.06-2,Contact,Meet,"today's meeting in Paris, where France, Russia and Germany","And my question is, after today's meeting in Paris, where France, Russia and Germany decided to not back a second resolution, who is not (UNINTELLIGIBLE)? Is it the U.S. or is it old Europe",meeting,8,14,34,40
bc/timex2norm/CNN_CF_20030305.1900.06-2,Life,Die,troops to die,Who sends troops to die on our side,die,10,12,20,22
bc/timex2norm/CNN_IP_20030328.1600.07,Conflict,Attack,the American troops now fighting in Iraq,"We know that some of the American troops now fighting in Iraq are longtime veterans of warfare, probably not most, but some",fighting,24,31,45,52
bc/timex2norm/CNN_IP_20030328.1600.07,Conflict,Attack,some of the American troops now fighting in Iraq are longtime veterans of warfare,"We know that some of the American troops now fighting in Iraq are longtime veterans of warfare, probably not most, but some",warfare,74,80,87,93
bc/timex2norm/CNN_IP_20030328.1600.07,Conflict,Attack,them to face combat,So what is it like for them to face combat far from home,combat,13,18,36,41
bc/timex2norm/CNN_IP_20030328.1600.07,Conflict,Attack,war,"For an idea, here is CNN's Candy Crowley with some war stories",war,0,2,51,53
bc/timex2norm/CNN_IP_20030328.1600.07,Conflict,Attack,"you for combat, because it is to kill people","There's nothing very pretty about the training that you take to prepare you for combat, because it is to kill people",combat,8,13,80,85
bc/timex2norm/CNN_IP_20030328.1600.07,Life,Die,"you for combat, because it is to kill people","There's nothing very pretty about the training that you take to prepare you for combat, because it is to kill people",kill,33,36,105,108
bc/timex2norm/CNN_IP_20030328.1600.07,Conflict,Attack,Staff Sergeant Tom Ridge opened fire,Staff Sergeant Tom Ridge opened fire,fire,32,35,32,35
bc/timex2norm/CNN_IP_20030328.1600.07,Life,Die,A Viet Cong soldier dropped dead,A Viet Cong soldier dropped dead,dead,28,31,28,31
